114323.txt,0.8751,1069,1539
114324.txt,0.8706,1062,1536
114325.txt,0.8875,1059,1534
114326.txt,0.9180,1065,1534
114327.txt,0.9031,1050,1530
114328.txt,0.9136,1053,1529
114329.txt,0.9293,1045,1525
114330.txt,0.9467,1033,1523
114333.txt,0.8896,1083,1552
114334.txt,0.8931,1091,1547
114335.txt,0.8691,1089,1542
114336.txt,0.8194,1092,1531
114337.txt,0.8682,1079,1528
114338.txt,0.8965,1094,1526
114339.txt,0.9098,1054,1521
114340.txt,0.9351,1052,1516
114341.txt,0.9167,1062,1509
114342.txt,0.9111,1047,1506
114343.txt,0.9379,1024,1502
114344.txt,0.9173,1020,1495
114345.txt,0.9408,1013,1485
114346.txt,0.9403,1166,1481
114347.txt,0.9316,1165,1475
114348.txt,0.9216,1161,1470
114349.txt,0.9034,1155,1466
114350.txt,0.9021,1152,1463
114351.txt,0.9047,1152,1460
114352.txt,0.8754,1160,1451
114353.txt,0.8803,1154,1444
114354.txt,0.8825,1145,1434
114356.txt,0.8195,1327,1427
114357.txt,0.8651,1139,1420
114358.txt,0.8815,1328,1413
114359.txt,0.8904,1130,1406
114360.txt,0.8049,1305,1402
114362.txt,0.8114,1181,1548
114363.txt,0.8667,1174,1540
114365.txt,0.8387,1076,1516
114367.txt,0.8728,1014,1494
114392.txt,0.8862,1150,1529
114393.txt,0.8363,1138,1501
114395.txt,0.8907,1120,1472
115208.txt,0.8297,1065,1350
115209.txt,0.8454,1076,1350
115210.txt,0.8774,1076,1349
115211.txt,0.8866,1062,1347
115212.txt,0.8924,1072,1346
115213.txt,0.9035,1062,1345
115214.txt,0.9158,1023,1345
115215.txt,0.9056,1022,1345
115216.txt,0.9013,1012,1345
115217.txt,0.9179,1010,1345
115218.txt,0.9112,1009,1345
115219.txt,0.8996,1010,1345
115220.txt,0.9015,1018,1345
115221.txt,0.8787,1009,1344
115222.txt,0.8667,1017,1344
115223.txt,0.8446,1010,1344
115224.txt,0.8739,1016,1343
115225.txt,0.8798,1008,1342
115226.txt,0.8872,1001,1341
115227.txt,0.8901,1001,1340
115228.txt,0.8940,1004,1340
115229.txt,0.9039,1004,1338
115230.txt,0.9000,1009,1335
115235.txt,0.8301,1075,1337
115236.txt,0.8675,1062,1332
115237.txt,0.9068,1011,1331
115238.txt,0.9084,1000,1331
115239.txt,0.9149,1000,1328
115240.txt,0.9127,1000,1328
115241.txt,0.8781,1000,1325
115242.txt,0.9065,1000,1322
115243.txt,0.9050,1000,1320
115244.txt,0.9084,1000,1316
115245.txt,0.9081,1000,1311
115246.txt,0.9035,1000,1305
115247.txt,0.9218,1000,1297
115248.txt,0.9176,1012,1296
115249.txt,0.8648,1031,1292
115250.txt,0.8377,1034,1287
115251.txt,0.8377,1024,1283
115252.txt,0.8097,1026,1279
115253.txt,0.8188,1029,1276
115254.txt,0.8232,1045,1273
115255.txt,0.8096,1020,1270
115256.txt,0.8607,1014,1268
115257.txt,0.8830,1003,1265
115258.txt,0.8604,1008,1263
115259.txt,0.8471,1008,1258
115260.txt,0.8478,1005,1255
115264.txt,0.8307,1060,1320
115265.txt,0.8867,1000,1317
115266.txt,0.8723,1000,1312
115293.txt,0.8523,1043,1299
115294.txt,0.8763,1014,1293
115322.txt,0.8825,1031,1290
115323.txt,0.8696,1017,1274
115352.txt,0.9020,1018,1275
115353.txt,0.8632,1001,1253
115382.txt,0.8692,1000,1249
115412.txt,0.8628,1000,1219
115441.txt,0.8280,1000,1265
115442.txt,0.8206,1000,1198
115471.txt,0.9183,1000,1243
115501.txt,0.9085,1000,1221
115531.txt,0.8974,1000,1209
115561.txt,0.8062,1000,1184
117007.txt,0.8240,1000,1157
117008.txt,0.8094,1000,1155
117009.txt,0.8594,1000,1155
117011.txt,0.8227,1000,1152
117012.txt,0.8427,1000,1152
117013.txt,0.8319,1000,1152
117014.txt,0.8708,1000,1152
117015.txt,0.8602,1012,1150
117016.txt,0.8657,1000,1149
117017.txt,0.8669,1000,1149
117018.txt,0.8871,1000,1148
117019.txt,0.8855,1000,1147
117020.txt,0.8489,1000,1147
117023.txt,0.8177,1000,1146
129656.txt,0.8102,1021,4390
129657.txt,0.8370,1016,4361
129658.txt,0.8277,1008,4341
129659.txt,0.8298,1001,4319
129660.txt,0.8324,1000,4299
130520.txt,0.8177,2796,3890
130523.txt,0.8044,3046,3867
130524.txt,0.8192,3053,3860
130548.txt,0.8755,2813,3547
130549.txt,0.8650,2778,3526
130550.txt,0.9145,2781,3511
130551.txt,0.9154,2445,3487
130552.txt,0.9238,2686,3463
130553.txt,0.8969,2737,3444
130554.txt,0.8862,2733,3419
130555.txt,0.8401,2711,3394
130556.txt,0.8556,2676,3377
130557.txt,0.8454,2674,3356
130558.txt,0.8835,2646,3345
130559.txt,0.8693,2662,3329
130560.txt,0.8779,2653,3315
130574.txt,0.8597,2613,3267
130575.txt,0.8899,2577,3227
130576.txt,0.9096,2554,3191
130577.txt,0.9034,2534,3159
130578.txt,0.8674,2505,3128
130579.txt,0.9070,2493,3104
130580.txt,0.9192,2906,3067
130581.txt,0.9257,2809,3041
130582.txt,0.9360,2759,3015
130583.txt,0.9350,2736,2984
130584.txt,0.9413,2728,2963
130585.txt,0.9450,2726,2935
130586.txt,0.9330,2693,2901
130587.txt,0.9419,2648,2879
130588.txt,0.9148,2842,2842
130589.txt,0.8266,2822,2822
130590.txt,0.8304,2792,2792
130602.txt,0.8021,2683,3028
130603.txt,0.8139,2475,2976
130604.txt,0.8820,2593,2934
130605.txt,0.8407,2765,2885
130607.txt,0.8966,2505,2799
130608.txt,0.8648,2651,2765
130609.txt,0.8885,2623,2730
130610.txt,0.9004,2593,2686
131516.txt,0.8019,2034,2104
133212.txt,0.8160,1928,2340
133213.txt,0.8382,1923,2338
133476.txt,0.8175,1399,1456
133479.txt,0.8024,1284,1284
133508.txt,0.8230,1245,1245
134109.txt,0.8402,1667,2087
134110.txt,0.8645,1668,2086
134111.txt,0.8770,1662,2082
134112.txt,0.8809,1668,2080
134113.txt,0.9032,1675,2079
134114.txt,0.9086,1665,2077
134115.txt,0.9052,1655,2075
134116.txt,0.9171,1503,2071
134117.txt,0.9053,1467,2070
134118.txt,0.8931,1485,2068
134119.txt,0.8843,1474,2067
134120.txt,0.8984,1486,2065
134121.txt,0.8639,1496,2065
134122.txt,0.8123,1479,2060
134124.txt,0.8272,1489,2056
134135.txt,0.8148,1630,2061
134136.txt,0.8240,1485,2052
134137.txt,0.8512,1465,2045
134138.txt,0.8011,1465,2036
134165.txt,0.8001,1464,2002
134222.txt,0.8072,1575,1971
134431.txt,0.8423,1451,1793
135903.txt,0.8713,1091,1688
135904.txt,0.9020,1177,1687
135905.txt,0.8903,1192,1685
